date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:51:07	18629/18629	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:51:07%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/vision/AxisCamera.ExposureControl.html	first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/vision/AxisCamera.ExposureControl.html	(from http://first.wpi.edu/FRC/roborio/release/docs/java/allclasses-frame.html)
15:51:08	19418/19418	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:51:07%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/vision/AxisCamera.Resolution.html	first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/vision/AxisCamera.Resolution.html	(from http://first.wpi.edu/FRC/roborio/release/docs/java/allclasses-frame.html)
15:51:08	17222/17222	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:51:08%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/vision/AxisCamera.Rotation.html	first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/vision/AxisCamera.Rotation.html	(from http://first.wpi.edu/FRC/roborio/release/docs/java/allclasses-frame.html)
15:51:08	20178/20178	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:51:08%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/vision/AxisCamera.WhiteBalance.html	first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/vision/AxisCamera.WhiteBalance.html	(from http://first.wpi.edu/FRC/roborio/release/docs/java/allclasses-frame.html)
15:51:09	16089/16089	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:51:08%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/util/BaseSystemNotInitializedException.html	first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/util/BaseSystemNotInitializedException.html	(from http://first.wpi.edu/FRC/roborio/release/docs/java/allclasses-frame.html)
15:51:09	26811/26811	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:51:09%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/image/BinaryImage.html	first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/image/BinaryImage.html	(from http://first.wpi.edu/FRC/roborio/release/docs/java/allclasses-frame.html)
15:51:10	14979/14979	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:51:09%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/networktables2/type/BooleanArray.html	first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/networktables2/type/BooleanArray.html	(from http://first.wpi.edu/FRC/roborio/release/docs/java/allclasses-frame.html)
15:51:10	17787/17787	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:51:10%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/util/BoundaryException.html	first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/util/BoundaryException.html	(from http://first.wpi.edu/FRC/roborio/release/docs/java/allclasses-frame.html)
15:51:10	26424/26424	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:51:10%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/BuiltInAccelerometer.html	first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/BuiltInAccelerometer.html	(from http://first.wpi.edu/FRC/roborio/release/docs/java/allclasses-frame.html)
15:51:11	19647/19647	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:51:10%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/buttons/Button.html	first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/buttons/Button.html	(from http://first.wpi.edu/FRC/roborio/release/docs/java/allclasses-frame.html)
